javadoc,code,method_name,parameters,return_type,return_variable,called_methods,local_variables,thrown_exceptions,class_name
"/*** Used to report an error found when checking the invariant.
* By providing a string, this will help debugging the class if the invariant should fail.
* @param error string to print to report the exact error found
* @return false always
*/","private static boolean report(String error) {
reporter.accept(error);
return false;
}",report,String error,boolean,false,['accept'],['false'],[],WordMultiset
"/*** Add a new string to the multiset. If it already exists,
* increase the count for the string and return false.
* Otherwise, set the count to one and return true.
* @param str the string to add (must not be null)
* @return true if str was added, false otherwise
* @throws NullPointerException if str is null
*/","public boolean add(String str) {
assert wellFormed() : ""invariant false at start of add"";
boolean result = false;

int i = hash(str, false);
if(isOpen(i)) {
if(data[i] == null) numUsed++;
result = true;
data[i] = new MyEntry(str);
numEntries++;
if(numUsed > data.length / 2) rehash();
version++;
}else {
data[i].count++;
}

assert wellFormed() : ""invariant false at end of add"";
return result;
}",add,String str,boolean,result,"['wellFormed', 'hash', 'isOpen', 'MyEntry', 'rehash']","['result', 'i', 'result']",[],WordMultiset
"/*** Remove one copy of a word from the multiset.
* If there are multiple copies, then we just adjust the count,
* and the map is unaffected (iterators don't go stale).
* @param str string to remove one of, may be null (but ignored if so)
* @return true if the word was in the multiset.
*/","public boolean removeOne(String str) {
assert wellFormed() : ""invariant false at start of removeOne"";
boolean result = false;
if(str == null) return false;

int i = hash(str, false);
if(isOpen(i)) {
return false;
}else {
if(data[i].count == 1) remove(data[i].string);
else data[i].count--;
result = true;
}

assert wellFormed() : ""invariant false at end of removeOne"";
return result;
}",removeOne,String str,boolean,false,"['wellFormed', 'hash', 'isOpen', 'remove']","['result', 'false', 'i', 'false', 'result']",[],WordMultiset
"/*** Return the shortest path between two vertices in the graph
* @param v1 starting vertex
* @param v2 ending vertex
* @return path from the first to the second as a list of vertices, or null
* is no path exists.
* @throws IllegalArgumentException if v1 or v2 is not in the graph
*/","@SuppressWarnings(""unchecked"")
public List<T> shortestPath(T v1, T v2) {

if(!(graph.containsVertex(v1) && graph.containsVertex(v2))) throw new IllegalArgumentException(""Must be in graph"");

ArrayDeque<ArrayList<T>> queue = new ArrayDeque<>();
HashSet<T> visited = new HashSet<>();
ArrayList<T> list = new ArrayList<>();

list.add(v1);
queue.push(list);
while(!queue.isEmpty()) {
list = queue.poll();
T current = list.get(list.size() - 1);
if(!visited.contains(current)) {
visited.add(current);
if(current.equals(v2)) {
return list;
}else {
Set<T> connected = graph.getConnected(current);
for(T vert : connected) {
    list.add(vert);
    queue.addLast((ArrayList<T>) list.clone());
    list.remove(list.size() - 1);
}
}
}
}

return null; // no path found
}",shortestPath,"T v1, T v2",List<T>,list,"['SuppressWarnings', 'containsVertex', 'IllegalArgumentException', 'add', 'push', 'isEmpty', 'poll', 'get', 'size', 'contains', 'equals', 'getConnected', 'addLast', 'clone', 'remove']","['queue', 'visited', 'list', 'current', 'list', 'connected', 'null']",['IllegalArgumentException'],FindPath
"/*** finds the distance between 2 points
*
* @param point the point that will be found the distance from
* @return the distance between two points
*/","public double distance(Point point) {
Vector temp = new Vector(this, point);
return temp.magnitude();
}",distance,Point point,double,temp.magnitude(),"['Vector', 'magnitude']",['temp'],[],Point
"/*** Read in a graph from the given reader.
* Each line (once trimmed of whitespace) names a vertex (a string),
* but before we trim, we check to see if the line begins with whitespace,
* in which case this vertex is the second vertex of an edge that
* begins with the last vertex that was on a line not starting with whitespace.
* <p> For example, the following text:
* <pre>
* A
* B
*   A
*   C
* </pre>
* is a graph with three vertices (A, B and C) and two
* edges, A-B and B-C.
* @param r
* @return graph represented by text of reader.
* @throws IOException if error reading or if the first line is indented.
*/","public static Graph<String> read(Reader r) throws IOException {
Graph<String> result = new HashGraph<>();
// TODO: Read in the graph from the reader.
// Our solution is 15 lines long, and it uses the following library classes:
// * BufferedReader

BufferedReader reader = new BufferedReader(r);
String before = null;
for(String s = reader.readLine(); s != null; s = reader.readLine()) {
if(s.startsWith("" "") || s.startsWith(""\t"")) {
if(before == null) throw new IOException(""can't lead with white space"");
s = s.strip();
if(!result.containsVertex(s)) result.addVertex(s);
if(!result.containsEdge(s, before)) result.addEdge(s, before);
}else {
s = s.strip();
if(!result.containsVertex(s)) result.addVertex(s);
before = s;
}
}

return result;
}",read,Reader r,Graph<String>,result,"['BufferedReader', 'readLine', 'startsWith', 'IOException', 'strip', 'containsVertex', 'addVertex', 'containsEdge', 'addEdge']","['result', 'reader', 'before', 's', 'result']",['IOException'],LoadPath
"/*** Return an empty stack.
* @return empty stack, never null
*/","@SuppressWarnings(""unchecked"")
public static <T> ImmutableStack<T> empty() {
return (ImmutableStack<T>) empty;
}",empty,,ImmutableStack<T>,(ImmutableStack<T>) empty,['SuppressWarnings'],[],[],ImmutableStack
"/*** Return the top of the stack.
* @throws NoSuchELementException if the stack is empty
* @return top of the stack
*/","public T top() {
if (this == empty) throw new NoSuchElementException(""stack is empty"");
return top;
}",top,,T,top,['NoSuchElementException'],['top'],['NoSuchElementException'],ImmutableStack
"/*** Return the stack that results from popping off the top element.
* @throws NoSuchElementException if the stack is empty
* @return stack after popping element
*/","public ImmutableStack<T> pop() {
if (this == empty) throw new NoSuchElementException(""empty stack"");
return shorter;
}",pop,,ImmutableStack<T>,shorter,['NoSuchElementException'],['shorter'],['NoSuchElementException'],ImmutableStack
"/*** Return the stack that results from pushing another element on top.
* @param val element to push
* @return new stack resulting from pushing element
*/","public ImmutableStack<T> push(T val) {
return new ImmutableStack<>(val,this);
}",push,T val,ImmutableStack<T>,"new ImmutableStack<>(val,this)",[],[],[],ImmutableStack
"/*** Create a CLL from the elements in the given collection in the same order.
* @param dummy dummy node to use, if null, a new dummy will be created
* @param coll collection to use, must not be null, but may be empty
* @return CLL of elements in same order
*/","private Node<E> toCLL(Node<E> dummy, Collection<? extends E> coll) {
if (dummy == null) dummy = new Node<E>(null,null);
dummy.next = dummy;
Node<E> t = dummy;
for (E e : coll) {
t = t.next = new Node<E>(e,dummy);
}
return t;
}",toCLL,"Node<E> dummy, Collection<? extends E> coll",Node<E>,t,[],"['t', 't']",[],SortedCollection
"/*** Convert a CLL to a string.
* A problem is signified by a string without a proper ending paren.
* Use this for debugging.
* @param tail CLL
* @return string picture of a CLL
*/","private static <E> String CLLtoString(Node<E> tail) {
if (tail == null) return ""<NULL>"";
Node<E> dummy = tail.next;
if (dummy == tail) return ""()"";
if (dummy == null) return ""<NO DUMMY>"";
if (dummy.data != null) return ""<DUMMY "" + dummy.data + "">"";
Node<E> head = dummy.next;
StringBuilder sb = new StringBuilder();
Node<E> fast = head.next;
while (head != dummy) {
if (head == null) return sb.toString(); // no closing paren
if (head == fast) {
System.out.println(""..."");
return sb.toString();
}
if (sb.length() == 0) sb.append(""("");
else sb.append("","");
sb.append(head.data);
head = head.next;
if (fast != dummy && fast != null) fast = fast.next;
if (fast != dummy && fast != null) fast = fast.next;
}
sb.append("")""); // clean close
return sb.toString();
}",CLLtoString,Node<E> tail,String,"""<NULL>""","['StringBuilder', 'toString', 'println', 'length', 'append']","['dummy', 'head', 'sb', 'fast']",[],SortedCollection
"/*** Merge two sorted CLLs, or rather, merge the elements
* of the second list into the first list.
* This method should not create any new nodes!
* The lists may have duplicates (according to the comparator)
* but will be in non-decreasing order w.r.t. the comparator.
* The result should include the dummy from the first CLL
* and the second CLL should be left empty (dummy points to itself).
* @note This method does not efficiently handle when the second list
* contains a single element that belongs at the end of the first list.
* In other words, this method does not do the work of insertion sort.
* @param t1 tail of first CLL
* @param t2 tail of second CLL
* @return tail of merged list (first CLL with nodes of second CLL merged in)
*/","private Node<E> merge(Node<E> t1, Node<E> t2) {
if(t2.next == t2) return t1;
if(t1.next == t1) {
Node<E> dummy = t2.next;
t1.next = t2.next.next;
t2.next = t1;
t1 = t2;
t2 = dummy;
t2.next = t2;
return t1;
}
Node<E> n1 = t1.next.next;
Node<E> n2 = t2.next.next;

Node<E> cur;
if(comparator.compare(n1.data, n2.data) < 0) {
cur = n1;
n1 = n1.next;
}else {
cur = n2;
n2 = n2.next;
}
Node<E> first = cur;
Node<E> dum1 = t1.next;
Node<E> dum2 = t2.next;

while(n1.data != null && n2.data != null) {
if(comparator.compare(n1.data, n2.data) < 0) {
cur.next = n1;
cur = cur.next;
n1 = n1.next;
}
else {
cur.next = n2;
cur = cur.next;
n2 = n2.next;
}
}
while(n1.data != null) {
cur.next = n1;
cur = cur.next;
n1 = n1.next;
}
while(n2.data != null) {
cur.next = n2;
cur = cur.next;
n2 = n2.next;
}
cur.next = dum1;
t1 = cur;
t1.next.next = first;
t2 = dum2;
t2.next = t2;

return t1;
}",merge,"Node<E> t1, Node<E> t2",Node<E>,t1,['compare'],"['t1', 'dummy', 't1', 'n1', 'n2', 'cur', 'first', 'dum1', 'dum2', 't1']",[],SortedCollection
"/*** Partition a CLL w.r.t. the first element in the list.
* The list elements are rearranged so that those which
* are less that the pivot are placed before it, and those
* that are greater are placed after them.  Equal elements
* will be placed in the ""after"" list right after the pivot.
* The elements may be rearranged arbitrarily otherwise.
* @param tail the last element of the CLL.
* There must be at least one element in this list
* @return new tail
*/","private Node<E> partition(Node<E> tail) {
Node<E> cur = tail.next.next;
Node<E> p = cur;
E pivot = cur.data;
Node<E> dum = tail.next;
Node<E> prev = tail.next;

while(cur.data != null) {
if(comparator.compare(cur.data, pivot) < 0) {
Node<E> next = cur.next;
prev.next = cur.next;
cur.next = dum.next;
dum.next = cur;
cur = next;
}else if(comparator.compare(cur.data, pivot) == 0 && cur != p) {
Node<E> next = cur.next;
prev.next = cur.next;
cur.next = p.next;
p.next = cur;
if(prev.next != next) prev = prev.next;
cur = next;
}else {
prev = cur;
cur = cur.next;
}
}

tail = prev;

return tail;
}",partition,Node<E> tail,Node<E>,tail,['compare'],"['cur', 'p', 'pivot', 'dum', 'prev', 'next', 'next', 'tail']",[],SortedCollection
"/*** Destructively sort a CLL using quicksort, and return it.
* The pivot chose should always be the first element.
* @param l CLL identified by its tail
*/","private Node<E> quicksort(Node<E> tail) {
if(tail.next.next == tail) return tail;

Node<E> pivot = tail.next.next;
Node<E> dum = tail.next;
tail = partition(tail);

Node<E> tail2 = tail.next;
while(tail2.next != pivot) tail2 = tail2.next;
tail2.next = dum;
tail2 = quicksort(tail2);
Node<E> beforeHead = tail2.next.next;
tail2.next = beforeHead;

if(tail == pivot) tail = dum;
tail.next = dum;
dum.next = pivot.next;
tail = quicksort(tail);
Node<E> afterHead = tail.next.next;

tail2.next = pivot;
pivot.next = afterHead;
if(tail.data == null) tail = pivot;
tail.next = dum;
if(beforeHead.data != null) dum.next = beforeHead;

return tail;
}",quicksort,Node<E> tail,Node<E>,tail,['partition'],"['tail', 'pivot', 'dum', 'tail2', 'beforeHead', 'afterHead', 'tail']",[],SortedCollection
"/*** Instantiates a new vector with specified delta values.
*
* @param dx the initial deltax value
* @param dy the initial deltay value
*/","public Vector(double dx, double dy){
this.deltax = dx;
this.deltay = dy;
}",Vector,"double dx, double dy",public,,[],[],[],Vector
"/*** Create a sorted collection using the given comparator.
* @param comp comparator to use, must not be null
*/","public SortedCollection(Comparator<E> comp) {
if (comp == null) throw new IllegalArgumentException(""comparator cannot be null"");
// TODO set up data structure for an empty list.
comparator = comp;
tail = new Node<>(null, null);
tail.next = tail;
size = 0;
version = 0;
assert wellFormed() : ""invariant failed at end of constructor"";
}",SortedCollection,Comparator<E> comp,public,,"['IllegalArgumentException', 'wellFormed']",[],['IllegalArgumentException'],SortedCollection
"/*** Create a sorted collection with the natural comparator,
* and with all the elements from the given collection
* @param from collection to get elements from, must not be null
*/","public SortedCollection(Collection<? extends E> from) {
this();
addAll(from);
assert wellFormed() : ""invariant failed at end of constructor"";
}",SortedCollection,Collection<? extends E> from,public,,"['addAll', 'wellFormed']",[],[],SortedCollection
"/*** Create an array robot with the given capacity
* If the capacity is zero, the robot cannot have any parts
* @param cap capacity to use, cannot be negative
*/","public ArrayRobot(int cap)
{
functions = new String[cap];
parts = new Part[cap];
}",ArrayRobot,int cap,public,,[],[],[],
"/*** Add a part to the robot.
* @param function the type of part this is (arm, leg, etc), must not be null
* @param part the part to add, must not be null.
* @return whether the part was added.
* @exception NullPointerException if the function or part is null
*/","@Override//required
public boolean addPart(String function, Part part)
{
if(function == null || part == null) throw new NullPointerException();
for (int i=0; i < functions.length; ++i)//For the empty space,
{
if(functions[i] == null) {//put it here! Checks if the space is empty
functions[i] = function;//puts function into the space
parts[i] = part;//puts part into the space
return true;//confirms that it was added
}
}
return false;
}",addPart,"String function, Part part",boolean,true,['NullPointerException'],"['i', 'true', 'false']",['NullPointerException'],
"/*** Remove a part from the robot if there is one with this function.
* @param function the type of part to remove, null means any part
* @return part that was removed
*/","@Override // required
public Part removePart(String function)
{
for(int i = 0; i < functions.length; ++i)
{
if(parts[i] == null) continue;
//The continue statement allows us to look over nulls and look for
//next available part, moving beyond just index zero if needed.
if(function == null || function.equals(functions[i]))//remove this one
{
Part p = parts[i];
functions[i] = null;
parts[i] = null;
return p;
}
}
return null;
}",removePart,String function,Part,p,['equals'],"['i', 'p', 'p', 'null']",[],
"/*** Return the part with the given function.
* @param function the type of part to look for, null means any part
* @param index zero-based index of part to return of the given type, must not be negative
* @return indicated part, or null if no such part (index is at least the number of this kind of kind)
*/","@Override//required
public Part getPart(String function, int index)
{
if(index < 0) throw new IllegalArgumentException(""index cannot be negative: "" + index);

for(int i=0; i < functions.length; ++i)
{
if(parts[i] == null)continue;
else if(function == null)
{
if(index-- == 0)return parts[i];
}
else if(function.equals(functions[i]))
{
if(index-- == 0)return parts[i];
}
}
return null;
}",getPart,"String function, int index",Part,parts[i],"['IllegalArgumentException', 'equals']","['i', 'null']",['IllegalArgumentException'],
"/*** Add a part to the robot.
* @param function the type of part this is (arm, leg, etc), must not be null
* @param part the part to add, must not be null.
* @return whether the part was added.
* @exception NullPointerException if the function or part is null
*/","@Override // required
public boolean addPart(String function, Part part)
{
if(function == null || part == null) throw new NullPointerException(""part cannot be null"");//exception thrown if there is no part
if(function.equals(ARM))//if function is and arm
{
if(arm1 == null)//if arm1 is empty...
{
arm1= part;//put the contents of part into arm1
return true;//confirm that it worked
}
else if(arm2 == null)//if arm2 is empty....
{
arm2 = part;//put the contents of part into arm2
return true;//confirm that it worked
}
}

else if(function.equals(LEG))//if fucntion is leg
{
if(leg1 == null)//if leg1 is empty...
{
leg1 = part;//put contents of part into leg1
return true;//confirm that it worked.
}
else if(leg2 == null)//if leg2 is empty...
{
leg2 = part;//put contents of part into leg2
return true;//confirm that it worked
}

}
else if(otherFunction == null)//if it's anything else like a head
{
otherFunction = function;//put the contents of function into otherFunction
otherPart = part;//put the contents of part into otherPart
return true;//confirm it works
}
return false;//Nothing happens
}",addPart,"String function, Part part",boolean,true,"['NullPointerException', 'equals']","['true', 'true', 'true', 'true', 'otherPart', 'true', 'false']",['NullPointerException'],
"/*** Remove a part from the robot if there is one with this function.
* @param function the type of part to remove, null means any part
* @return part that was removed
*/","@Override // required
public Part removePart(String function) {
Part result = null;
if(function == null)
{
if(arm1 != null)
{
result = arm1;
arm1 = null;
}
else if(arm2 != null)
{
result = arm2;
arm2 = null;
}
else if(leg1 != null)
{
result = leg1;
leg1 = null;
}
else if(leg2 != null)
{
result = leg2;
leg2 = null;
}
else if(otherPart != null)
{
result = otherPart;
otherPart = null;
}
}

else if(function.equals(ARM))
{
if(arm1 != null)
{
result = arm1;
arm1 = null;
}
else if(arm2 != null)
{
result = arm2;
arm2 = null;
}
}
else if(function.equals(LEG))
{
if(leg1 != null)
{
result = leg1;
leg1 = null;
}
else if(leg2 != null)
{
result = leg2;
leg2 = null;
}
}
else
{
if(otherPart != null)
{
result = otherPart;
otherPart = null;
}
}
return result;
}",removePart,String function,Part,result,['equals'],"['result', 'result']",[],
"/*** Return the part with the given function.
* @param function the type of part to look for, null means any part
* @param index zero-based index of part to return of the given type, must not be negative
* @return indicated part, or null if no such part (index is at least the number of this kind of kind)
*/","@Override // required
public Part getPart(String function, int index) {
if(index < 0)throw new IllegalArgumentException(""Index cannot be negative."");

Part result = null;

if(function == null  || function.equals(ARM))
{
if(arm1 != null)
{
if(index-- == 0)result = arm1;
}
if(arm2 != null)
{
if(index-- == 0)result = arm2;
}
}
if(function == null||function.equals(LEG))
{
if(leg1 != null)
{
if(index-- == 0)result = leg1;
}

if(leg2 != null)
{
if(index-- == 0)result = leg2;
}
}
if(function == null || function.equals(""head""))
{
if(index-- == 0) result = otherPart;
}

return result;
}",getPart,"String function, int index",Part,result,"['IllegalArgumentException', 'equals']","['result', 'result']",['IllegalArgumentException'],
"/*** Create a part with the given serial number
* @param serial serial number, must not be null
*/","public Part(String serial)
{
//initialize the part after checking for errors.
if(serial == null) throw new NullPointerException(""null is not a serial number"");
this.serial = serial;
}",Part,String serial,public,,['NullPointerException'],[],['NullPointerException'],
"/*** Instantiates a new unit vector with specified angle.
*
* @param theta the angle to construct, in radians
*/","public Vector(double theta){
this.deltax = Math.cos(theta);
this.deltay = Math.sin(theta);
}",Vector,double theta,public,,"['cos', 'sin']",[],[],Vector
"/*** Create a part with a random serial number.
*/","public Part()
{
// call the other constructor with ""this(...)""
// filling in the ""..."" with a random string which
// can indeed be a series of digits.
// Our solution uses ""new Random().nextInt()"" as part of this.
this(""RSN"" + new Random().nextInt());
}",Part,,public,,"['Random', 'nextInt']",[],[],
"/*** Indicates whether some other object is ""equal to"" this one.
* @param x the reference object with which to compare.
* @return true if this object is the same as the obj argument; false otherwise.
*/","@Override//implementation
public boolean equals(Object x)
{
if(!(x instanceof Part)) return false;
Part p = (Part)x;
return serial.equals(p.serial);
}",equals,Object x,boolean,false,[],"['false', 'p']",[],
"/*** @return a hash code value for the object.
*/","@Override//implementation
public int hashCode()
{
return serial.hashCode();
}",hashCode,,int,serial.hashCode(),[],[],[],
"/*** @return a string representation of the object.
*/","@Override // implementation
public String toString()
{
return ""Part("" + serial + "")"";
}",toString,,String,"""Part("" + serial + "")""",['Part'],[],[],
"/*** @return the serial number of this part
*/","public String getSerial()
{
return serial;
}",getSerial,,String,serial,[],['serial'],[],
"/*** Return once the data structure has been updated so that
* the capacity of the arrays is at least the parameter.
* If we create new arrays, they will be at least twice as long as the existing arrays.
* This code assumes the arrays are the same length, and preserves this property.
* @param cap capacity desired
*/","private void ensureCapacity(int cap)
{
// Follow activity but update to handle two arrays at once (same length)
if(cap <= functions.length && cap <= parts.length) return;
int newSize = functions.length*2;
if(newSize < cap)cap = newSize;
String[] newFunctions = new String[newSize];
Part[] newParts = new Part[newSize];
for(int i=0; i < size; ++i)
{
newFunctions[i] = functions[i];
newParts[i] = parts[i];
}
functions = newFunctions;
parts = newParts;
}",ensureCapacity,int cap,void,,['once'],"['newSize', 'newFunctions', 'newParts', 'i']",[],
"/*** Create an empty part sequence.
*/","public DynamicArrayPartSeq() {
this(INITIAL_CAPACITY); // call specifying constructor to do the work
// no assertion required because other constructor asserts it
}",DynamicArrayPartSeq,,public,,[],[],[],
"/*** Create a dynamic array part sequence with the given capacity
* (how many parts that can be added without requiring allocation of a new array).
* @param cap number of elements to prepare for, cannot be negative
*/","public DynamicArrayPartSeq(int cap) {
// TODO
functions = new String[cap];
parts = new Part[cap];

assert wellFormed() : ""invariant broken by constructor"";
}",DynamicArrayPartSeq,int cap,public,,['wellFormed'],['functions'],[],
"/*** Return the number of elements in the sequence.
* @return number of elements in sequence
*/","public int size() {
assert wellFormed() : ""invariant broken in size"";
return size;
}",size,,int,size,['wellFormed'],['size'],[],
"/*** Start running through all parts.
*/","public void start() {
// not asserting invariant before this will be done by the other start
start(null);
}",start,,void,,[],[],[],
"/*** Instantiates a new vector between two points.
* If applied to the first point, the result is the second point.
*
* @param p the first point
* @param q the second point
*/","public Vector(Point p, Point q){
this.deltax = q.x() - p.x();
this.deltay = q.y() - p.y();
}",Vector,"Point p, Point q",public,,"['x', 'y']",[],[],Vector
"/*** Start running through all parts with the given function.
* @param function kind of parts to access, may be null (any part)
*/","public void start(String function)
{
// TODO: don't forget to assert the invariant twice: before and after
assert wellFormed():""invariant broken in start."";
if(function == null)
{
this.function =null;
currentIndex=0;
return;
}
this.function = function;
currentIndex = -1;
moveForStart();
assert wellFormed():""invariant broken in start"";
}",start,String function,void,,"['wellFormed', 'moveForStart']",[],[],
"/*** Return whether there is a current element.
* @return whether there is a current element
*/","public boolean isCurrent()
{
assert wellFormed():""invariant broken in isCurrent"";
return currentIndex < size;
}",isCurrent,,boolean,currentIndex < size,['wellFormed'],[],[],
"/*** Return the current element.
* This method can only be called if there is a current element.
* @return the part which is current
* @throws IllegalStateException if there is no current element
*/","public Part getCurrent() {
assert wellFormed():""invariant broken in getCurrent."";
if(parts[currentIndex] == null)throw new IllegalStateException(""There is no current element in getCurrent."");
return parts[currentIndex];
}",getCurrent,,Part,parts[currentIndex],"['wellFormed', 'IllegalStateException']",[],['IllegalStateException'],
"/*** Move the cursor to the next part with the current function.
* If there is no such part, then after this call, there is no current element.
* @throws IllegalStateException
*/","public void advance() {
assert wellFormed() : ""invariant broken in advance"";
// TODO (our solution uses the helper method)
if(currentIndex > size-1)throw new IllegalStateException(""Current index is greater than the size."");
if(function==null)
{
currentIndex++;
assert wellFormed():""invariant broken by advance."";
return;
}
for(int i =currentIndex+1;i < size;i++) {
if(function.equals(functions[i])){
currentIndex=i;
assert wellFormed():""invariant broken by advance."";
return;
}
}
currentIndex=size;
assert wellFormed() : ""invariant broken by advance"";
}",advance,,void,,"['wellFormed', 'TODO', 'IllegalStateException', 'equals']",['i'],['IllegalStateException'],
"/*** Remove the current element.  Then the next part (of the function)
* is made current, or there is no current if there are not more parts
* (of the function).
* @throws IllegalStateException if there is no current element
*/","public void removeCurrent() {
// TODO: lots to do
assert wellFormed(): ""invariant broken in removeCurrent"";
if(functions[currentIndex] == null || parts[currentIndex]== null)
{
throw new IllegalStateException(""There is no current element."");
}

functions[currentIndex]=null;
parts[currentIndex]=null;
size--;

if(currentIndex+1 < functions.length && functions[currentIndex+1]!=null) shiftLeft(currentIndex);

if(size==0)
{
assert wellFormed():""invariant broken by removeCurrent"";
return;
}
else if(function != null)
{
while(currentIndex<size)
{
if(function.equals(functions[currentIndex]))
{
break;
}
currentIndex++;
}
}

assert wellFormed():""invariant broken by removeCurrent"";
}",removeCurrent,,void,,"['wellFormed', 'IllegalStateException', 'shiftLeft', 'equals']",[],['IllegalStateException'],
"/*** Add a part before the current element.  If there is no current element,
* then add at the beginning.  There must have been a function
* defined (See [@link #start(String)}).
* @throws IllegalStateException if no function defined, or if the function was null
* @param p part to add at this spot, must not be null.
*/","public void addBefore(Part p) {
assert wellFormed() : ""invariant broken in addBefore"";
// TODO
if(p==null)throw new NullPointerException(""Null data cannot be added to the array."");
if(function == null)throw new IllegalStateException(""function cannot be null or undefined in addBefore."");
ensureCapacity(size*2);
if(functions[currentIndex]==null)
{
shiftRight(0);
functions[0] = function;
parts[0] = p;
currentIndex=0;
}
else
{
shiftRight(currentIndex);
functions[currentIndex] = function;
parts[currentIndex] = p;
}
size++;
ensureCapacity(size*2);
assert wellFormed() : ""invariant broken by addBefore"";
}",addBefore,Part p,void,,"['wellFormed', 'NullPointerException', 'IllegalStateException', 'ensureCapacity', 'shiftRight']",[],"['IllegalStateException', 'NullPointerException']",
"/*** Add a part after the current element.  If there is no current element,
* then add at the end.  There must have been a function
* defined (See [@link #start(String)}).
* @throws IllegalStateException if no function defined, or if the function was null
* @param p part to add at this spot, must not be null.
*/","public void addAfter(Part p) {
// TODO: (remember the invariant!)
assert wellFormed():""invariant broken in addAfter"";
if(p==null) throw new NullPointerException(""Cannot add null data to the array."");
ensureCapacity(size*2);
if(function == null)throw new IllegalStateException(""function cannot be null or undefined in addBefore."");
if(size==0)
{
doAdd(0,p);
assert wellFormed():""invariant broken by addAfter"";
return;
} else if(currentIndex==size) {
doAdd(size, p);
assert wellFormed():""invariant broken by addAfter"";
return;
}

shiftRight(currentIndex);
doAdd(currentIndex+1,p);
currentIndex++;
assert wellFormed():""invariant broken by addAfter"";
}",addAfter,Part p,void,,"['wellFormed', 'NullPointerException', 'ensureCapacity', 'IllegalStateException', 'doAdd', 'shiftRight']",[],"['IllegalStateException', 'NullPointerException']",
"/*** Return the function of this part.
* @return string of this part, null if this part not in a robot
*/","public String getFunction() {
return function;
}",getFunction,,String,function,[],['function'],[],
"/*** Return the next part in this robot.
* This is valid only if the part is in a robot.
* @return the next part, possibly null
* @exception IllegalStateException if this part is not a part of a robot
*/","public FunctionalPart getNext() {
if (function == null) throw new IllegalStateException(""not part of a robot"");
return next;
}",getNext,,FunctionalPart,next,['IllegalStateException'],['next'],['IllegalStateException'],
"/*** Create a wired robot without parts
* and no order.
*/","public WiredRobot()
{
this(null);
}",WiredRobot,,public,,[],[],[],
"/*** Getter for deltax field.
*
* @return the current deltax value
*/","public double dx(){
return this.deltax;
}",dx,,double,this.deltax,[],[],[],Vector
"/*** Create a wired robot without parts
* with the given order
* @param comp order to use, if null, then unordered
*/","public WiredRobot(Comparator<FunctionalPart> comp) {
if(comp == null)
{
comp = (p1,p2) -> 0;
}
this.comparator = comp;
dummy = new FunctionalPart();
assert wellFormed() : ""Invariant not established by constructor"";
}",WiredRobot,Comparator<FunctionalPart> comp,public,,"['FunctionalPart', 'wellFormed']",[],[],
"/*** Return the function of this part.
* @return string of this part, null if this part not in a robot
*/","public String getFunction() {
return function;
}",getFunction,,String,function,[],['function'],[],
"/*** Return the next part in this robot.
* This is valid only if the part is in a robot.
* @return the next part, possibly null
* @exception IllegalStateException if this part is not a part of a robot
*/","public FunctionalPart getNext() {
throw new UnsupportedOperationException(""not implemented"");
}",getNext,,FunctionalPart,,['UnsupportedOperationException'],[],['UnsupportedOperationException'],
"/*** Compare two parts according to our purposes.
* We use the supplied comparator except when it
* says it doesn't care, in which case, we use the (unique) id to
* distinguish two parts, older first.
* @param p1 first part, must not be null
* @param p2 second part, must not be null
* @return comparison, only 0 if p1 and p2 are the same
*/","private int compare(FunctionalPart p1, FunctionalPart p2) //Received assistance from Alex K in tutoring center
{
if(comparator == null || comparator.compare(p1, p2) == 0)
{
if(p1.getId() < p2.getId())
{
return -1;
}
else if(p1.getId() == p2.getId())
{
return 0;
}
else if(p1.getId() > p2.getId())
{
return 1;
}
}
return comparator.compare(p1, p2);
}",compare,"FunctionalPart p1, FunctionalPart p2",int,-1,['getId'],[],[],
"/*** Check a tree of parts within bounds.
* The subtree must be properly ordered, and every part
* must have a non-null function assigned.
* @param r root of subtree to check, may be null
* @param lo lower bound (exclusive) of all parts in subtree.
*   If null, then no lower bound
* @param hi upper bound (exclusive) of all parts in subtree.
*   If null, then no upper bound
* @return whether the subtree checks out OK.
* If false is returned, then exactly one report has been generated.
*/","private boolean checkInRange(FunctionalPart r, FunctionalPart lo, FunctionalPart hi) //Received assistance from Alex Dueppen in tutoring center
{",checkInRange,"FunctionalPart r, FunctionalPart lo, FunctionalPart hi",boolean,,[],[],[],
"/***************************
* We need a base case
* Then do some work
* We need a recursive call
* Only work with r
***************************/","//if r is null there is nothing to check
if(r == null)return true;
if(!checkInRange(r.left,lo,r)) return false;
if(!checkInRange(r.right,r,hi))return false;

//1.Checking if function is null
if(r.function == null)return report(""roots function cannot be null if the part is not null."");

//2.
//Checking if lo < r < hi
if(lo != null && compare(r,lo) <= 0)return report(""lo is greater than root"");
if(hi != null && compare(r,hi) >= 0)return report(""hi is less than the root"");

return true;
}",if,r == null,check,true,"['checkInRange', 'report', 'compare']","['true', 'false', 'false', 'true']",[],
"/*** Create a wired robot without parts
* and no order.
*/","public WiredRobot() {
this(null);
}",WiredRobot,,public,,[],[],[],
